csl.4.07.03	In C	Q000624
csl.4.07.04	In D	Q000625
csl.4.07.05	In E	Q000626
csl.4.07.06	In F	Q000627
csl.4.07.07	In G	Q000628
csl.4.07.08	In H	Q000629
csl.4.07.09	In I	Q000630
csl.4.07.10	In J	Q002379
csl.4.07.11	In K	Q002380
csl.4.07.12	In L	Q002381
csl.4.07.13	In M	Q002382
csl.4.07.99		Q002323
csl.4.08.01	DI A	Q000632
csl.4.08.02	DI B	Q000633
csl.4.08.03	DI C	Q000634
csl.4.08.04	DI D	Q000635
csl.4.08.05	DI E	Q000636
csl.4.08.06	DI F	Q000637
csl.4.08.07	DI G	Q000638
csl.4.08.08	DI H	Q000639
csl.4.08.09	DI I	Q000640
csl.4.08.10	DI J	Q000641
csl.4.08.11	DI K	Q000642
csl.4.08.12	DI L	Q000643
csl.4.08.13	DI M	Q000644
csl.4.08.14	DI N	Q000645
csl.4.08.15	DI O	Q000646
csl.4.08.16	DI P	Q000647
csl.4.08.17	DI Q	Q000648
csl.4.08.18	DI R	Q000649
csl.4.08.19	DI S	Q000650
csl.4.08.20	DI T	Q000651
csl.4.08.21	DI U	Q002324
csl.4.08.22	DI V	Q000652
csl.4.08.23	DI W	Q000653
csl.4.08.24	DI X	Q000654
csl.4.08.25	DI Y	Q000655
csl.4.08.26	DI Z	Q000656
csl.4.08.27	DI A₁	Q000657
csl.4.08.28	DI B₁	Q000658
csl.4.08.29	DI C₁	Q000659
csl.4.08.30	DI D₁	Q000660
csl.4.08.31	DI E₁	Q000661
csl.4.08.32	DI F₁	Q000662
csl.4.08.33	DI G₁	Q000663
csl.4.08.34	SF	Q002383
csl.4.08.99		Q002384
csl.4.09.01	Išk A	Q000665
csl.4.09.99		Q002385
csl.4.10.01	Lis	Q000666
csl.4.11.01	Ll A	Q000667
csl.4.12.01	Ma A	Q000668
csl.4.12.02	Ma B	Q000669
csl.4.13.01	Na A	Q000670
csl.4.13.02	Na B	Q000671
csl.4.13.03	Na C	Q000672
csl.4.13.04	Na D	Q000673
csl.4.13.05	Na E	Q000674
csl.4.13.06	Na F	Q000675
csl.4.13.07	Na G	Q000676
csl.4.13.08	Na H	Q000677
csl.4.13.09	Na I	Q000678
csl.4.13.10	Na J	Q000679
csl.4.13.11	Na K	Q000680
csl.4.13.12	Na L	Q000681
csl.4.13.13	Na M	Q000682
csl.4.13.14	Na N	Q000683
csl.4.13.15	Na O	Q000684
csl.4.13.16	Na P	Q000685
csl.4.13.99		Q000686
csl.4.14.01	Nš A	Q000690
csl.4.14.02	Nš B	Q000691
csl.4.14.03	Nš C	Q000692
csl.4.15.01	Nr A	Q000693
csl.4.15.02	Nr B	Q000694
csl.4.15.03	Nr C	Q000695
csl.4.15.04	Nr D	Q002386
csl.4.15.05	Nr E	Q000696
csl.4.15.06	Nr F	Q002387
csl.4.16.01	Nd A	Q000733
csl.4.16.02	Nd B	Q000734
csl.4.16.03	Nd C	Q000735
csl.4.17.01	Nz A	Q000697
csl.4.18.01	Ngr A	Q000698
csl.4.19.01	Ngz A	Q000699
csl.4.19.02	Ngz B	Q000700
csl.4.19.03	Ngz C	Q000701
csl.4.19.04	Ngz D	Q000702
csl.4.19.05	Ngz E	Q000703
csl.4.20.01	Ngb A	Q000704
csl.4.20.02	Ngb B	Q000705
csl.4.21.01	Nm A	Q000707
csl.4.22.01	Nns A	Q000708
csl.4.22.02	Nns B	Q000709
csl.4.22.03	Nns C	Q000710
csl.4.22.04	Nns D	Q000711
csl.4.22.05	Nns E	Q000712
csl.4.22.06	Nns F	Q000713
csl.4.22.07	Nns G	Q002388
csl.4.23.01	Nk A	Q000714
csl.4.24.01	Nl A	Q000715
csl.4.25.01	Nšb A	Q000716
csl.4.25.02	Nšb B	Q000717
csl.4.25.03		Q000718
csl.4.26.01	Nnt A	Q000719
csl.4.27.01	Nrt A	Q000720
csl.4.27.02	Nrt B	Q000721
csl.4.27.03	Nrt C	Q000722
csl.4.27.04	Nrt D	Q000723
csl.4.27.05	Nrt E	Q000724
csl.4.27.06	Nrt F	Q000725
csl.4.27.07	Nrt G	Q000726
csl.4.27.08	Nrt H	Q000727
csl.4.27.09	Nrt I	Q002389
csl.4.27.10	Nrt J	Q000728
csl.4.27.11	Nrt K	Q000729
csl.4.27.12	Nrt L	Q000730
csl.4.27.13	Nrt M	Q000731
csl.4.27.99		Q000732
csl.4.28.01	Nu	Q000736
csl.4.29.01	Nsk A	Q000737
csl.4.29.02	Nsk B	Q000738
csl.4.30.01	Šr A	Q000739
csl.4.30.02	Šr B	Q000740
csl.4.31.01	Šp A	Q000741
csl.4.32.01	Ut A	Q000742
csl.4.32.02	Ut B	Q000743
csl.4.32.03	Ut C	Q000744
csl.4.32.04	Ut D	Q000745
csl.4.32.05	Ut E	Q000746
csl.4.32.06	Ut F	Q000747
csl.4.32.07	Ut G	Q002390
csl.4.32.08	Ut H	Q002391
csl.4.32.99		Q002392
csl.4.33.1.01	Sdr A	Q000748
csl.4.33.2.01	Ar A	Q002393
csl.4.99		Q002394
csl.4.80.01	TH	Q000750
csl.4.80.02	KH	Q000751
csl.4.80.03	ErH	Q000335
csl.4.80.04	EkH	Q000752
csl.4.80.05		Q002395
csl.4.80.06	IT	Q000753
csl.5.1.01	Ed A	Q000754
csl.5.1.02	Ed B	Q000755
csl.5.1.03	Ed C	Q000756
csl.5.1.04	Ed D	Q000757
csl.5.1.05	Ed E	Q000758
csl.5.1.06	Ed R	Q000759
csl.5.1.07	Ed frg.	Q002396
csl.5.2.01	Ed I	Q002397
csl.5.2.02	Ed II	Q002398
csl.5.2.03	Ed III	Q002399
csl.5.3.01	AA	Q000760
csl.5.3.02	LA	Q000761
csl.5.3.03	EE	Q000762
csl.5.3.04	GG	Q000763
csl.5.3.05	MK	Q000764
csl.5.3.06	UK	Q000765
csl.5.3.07		Q000766
csl.5.4.01	D 1	Q000767
csl.5.4.02	D 2	Q000768
csl.5.4.03	D 3	Q000769
csl.5.4.04	D 4	Q000770
csl.5.4.05	D 5	Q000771
csl.5.4.06	D frg.	Q002400
csl.6.1.01	ŠI	Q000782
csl.6.1.02	FI	Q000784
csl.6.1.03	MG	Q000788
csl.6.1.04	Nignam	Q000826
csl.6.1.05	W frg.	Q000799
csl.6.2.1.01	Dt A	Q000772
csl.6.2.1.02	Dt B	Q000773
csl.6.2.1.03	Dt C	Q000774
csl.6.2.1.04	Dt D	Q002333
csl.6.2.02	HF	Q000793
csl.6.2.03	HT	Q000794
csl.6.2.04	ML	Q000775
csl.6.2.05	FS A	Q000776
csl.6.2.06	FS B	Q000777
csl.6.2.07	Al	Q000778
csl.6.2.08	El	Q000779
csl.6.2.09	Mi	Q000780
csl.6.2.10	CR	Q000787
csl.6.2.11	TOA	Q000785
csl.6.2.12.01	DF	Q002342
csl.6.2.12.02	ENam	Q000790
csl.6.2.12.03	Ax	Q000792
csl.6.2.12.04	DN	Q000791
csl.6.2.12.05	OMYG	Q002335
csl.6.2.12.06	FF	Q002341
csl.6.2.12.07	FW	Q000827
csl.6.2.12.08	MC1	Q002402
csl.6.2.12.09	MC2	Q000828
csl.6.2.12.10	MC3	Q002403
csl.6.2.12.11	MC4	Q002404
csl.6.2.12.12	MC5	Q000829
csl.6.3.01	P 1	Q000795
csl.6.3.02	P 2	Q000796
csl.6.3.03	P 3	Q000797
csl.6.3.04	P 4	Q000798
csl.6.3.05	P 5	Q000799
csl.6.3.06	P 6	
csl.6.3.07	P 7	Q000800
csl.6.3.08	P 8	Q000801
csl.6.3.09	P 9	Q000802
csl.6.3.10	P 10	Q000803
csl.6.3.11	P 11	Q000804
csl.6.3.12	P 12	Q000805
csl.6.3.13	P 13	Q000806
csl.6.3.14	P 14	Q000807
csl.6.3.15	P 15	Q000808
csl.6.3.16	P 16	Q000809
csl.6.3.17	P 17	Q000810
