aʾa[unmng]V/i	a-a	rr	a·a
had[bright]V/i	had₂-had₂	RR	had·had
had[bright]V/i	had₂-had₂	RR	had·had
had[bright]V/i	hud-hud	rr	hud·hud
hal[divide]V/t	ha-al-ha	R′r	ha°al·ha
hal[divide]V/t	ha-hal	rR	ha·hal
hal[divide]V/t	ha-la-ha-la	R′R′	ha°la·ha°la
hal[divide]V/t	hal-ha	Rr	hal·ha
hal[divide]V/t	hal-hal	RR	hal·hal
hal[roll]V/i	hal-hal	RR	hal·hal
haš[break]V/t	haš-haš	RR	haš·haš
haza[hold]V/t	ha-ha	rr	ha·ha
hi[mix]V/t	hi-hi	RR	hi·hi
HI.HI[pinch]V/t	HI-HI	rr	HI·HI
hir[squeeze]V/t	EZEN-EZEN	rr	EZEN·EZEN
hir[squeeze]V/t	hi-ir-hi-ir	R′R′	hi°ir·hi°ir
hir[squeeze]V/t	hir-hir	RR	hir·hir
hub[heap]V/t	hub-hub	RR	hub·hub
huŋ[hire]V/t	huŋ-huŋ	RR	huŋ·huŋ
huŋ[pacify]V/t	huŋ-huŋ	RR	huŋ·huŋ
hul[rejoice]V/i	hu-ul-hu-ul	R′R′	hu°ul·hu°ul
hul[rejoice]V/i	hul₂-hul₂	RR	hul·hul
hulu[bad]V/i	hu-hu	rr	hu·hu
hulu[bad]V/i	hulu-hulu	RR	hulu·hulu
hulu[bad]V/i	hulu-hulu-hulu	RRR	hulu·hulu·hulu
hulu[bad]V/i	hul₂-hul₂	rr	hul·hul
hum[honor]V/t	hum-hum	RR	hum·hum
hum[paralyze]V/t	hum-hum	RR	hum·hum
hum[snap]V/t	hum-hum	RR	hum·hum
hur[scrape]V/t	hu-hu	rr	hu·hu
hur[scratch]V/t	hur-hur	RR	hur·hur
huš[reddish]V/i	huš-huš	RR	huš·huš
iʾiz[numerous]V/i	i-iz	rR	i·iz
il[raise]V/t	il₂-il₂	RR	il·il
il[raise]V/t	i₂-il₂	rR	i·il
