P010285	OIP 099, 351	uncertain (mod. Abu Salabikh)	IM —	AbS-T 0026						ED IIIa
P356460	CDLI Literary 000351, ex. 096	Nippur (mod. Nuffar)	Penn —	3N-T0918,404						Old Babylonian
P356485	CDLI Literary 000351, ex. 101	Nippur (mod. Nuffar)	Penn —	3N-T0918,430						Old Babylonian
P356489	CDLI Literary 000351, ex. 116	Nippur (mod. Nuffar)	Penn —	3N-T0918,434						Old Babylonian
P356497	CDLI Literary 000351, ex. 113	Nippur (mod. Nuffar)	Penn —	3N-T0918,442						Old Babylonian
P356519	CDLI Literary 000351, ex. 075	Nippur (mod. Nuffar)	Penn —	3N-T0919,464						Old Babylonian
P356563	CDLI Literary 000351, ex. 098	Nippur (mod. Nuffar)	Penn —	3N-T0927,514 + 3N-T0927,515						Old Babylonian
P356647	CDLI Literary 000351, ex. 082	Nippur (mod. Nuffar)	IM 058441	3N-T0353						Old Babylonian
P356663	CDLI Literary 000351, ex. 079	Nippur (mod. Nuffar)	IM 058455	3N-T0384						Old Babylonian
P356718	CDLI Literary 000351, ex. 089	Nippur (mod. Nuffar)	IM 058507	3N-T0477						Old Babylonian
P356828	CDLI Literary 000351, ex. 088	Nippur (mod. Nuffar)	IM 058694	3N-T0770						Old Babylonian
P356983	CDLI Literary 000351, ex. 124	Nippur (mod. Nuffar)	Ist Ni 09840							Old Babylonian
P356985	CDLI Literary 000351, ex. 123	Nippur (mod. Nuffar)	Ist Ni 09963							Old Babylonian
P356987	CDLI Literary 000351, ex. 080	Nippur (mod. Nuffar)	Ist Ni 09454							Old Babylonian
P357079	CDLI Literary 000351, ex. 139	Nineveh (mod. Kuyunjik)	BM —		K 01299					Neo-Assyrian
P357086	CDLI Literary 000351, ex. 134	Nineveh (mod. Kuyunjik)	BM —		K 02862 + K 02868 + K 05065a + Rm 0111					Neo-Assyrian
P357087	CDLI Literary 000351, ex. 001	Nineveh (mod. Kuyunjik)	BM —		K 02863					Neo-Assyrian
P357089	CDLI Literary 000351, ex. 005	Nineveh (mod. Kuyunjik)	BM —		K 02871 + 1881-02-04, 0396					Neo-Assyrian
P357099	CDLI Literary 000351, ex. 004	Nineveh (mod. Kuyunjik)	BM —		K 04814					Neo-Assyrian
P357102	CDLI Literary 000351, ex. 003	Nineveh (mod. Kuyunjik)	BM —		K 04827					Neo-Assyrian
P357106	CDLI Literary 000351, ex. 137	Nineveh (mod. Kuyunjik)	BM —		K 05033					Neo-Assyrian
P357108	CDLI Literary 000351, ex. 015	Nineveh (mod. Kuyunjik)	BM —		K 05036 + K 06657					Neo-Assyrian
P357110	CDLI Literary 000351, ex. 006	Nineveh (mod. Kuyunjik)	BM —		K 05124					Neo-Assyrian
P357126	CDLI Literary 000351, ex. 131	Nineveh (mod. Kuyunjik)	BM —		K 10374					Neo-Assyrian
P357132	CDLI Literary 000351, ex. 125	Nineveh (mod. Kuyunjik)	BM —		K 13521					Neo-Assyrian
P357133	CDLI Literary 000351, ex. 138	Nineveh (mod. Kuyunjik)	BM —		K 13552					Neo-Assyrian
P357140	CDLI Literary 000351, ex. 044	Nineveh (mod. Kuyunjik)	BM —		K 15178					Neo-Assyrian
P357174	CDLI Literary 000351, ex. 126	uncertain (mod. uncertain)	BM 038155							Neo-Babylonian
P357176	CDLI Literary 000351, ex. 129	uncertain (mod. uncertain)	BM 038433		1880-11-12, 0316					Old Babylonian
P357179	CDLI Literary 000351, ex. 130	uncertain (mod. uncertain)	BM 046956		1881-08-30, 0422					Neo-Babylonian
P357180	CDLI Literary 000351, ex. 158	uncertain (mod. uncertain)	BM 047892		1881-11-03, 0599					Old Babylonian
P357181	CDLI Literary 000351, ex. 142	Sippar-Yahrurum (mod. Tell Abu Habbah)	BM 053666		1882-03-23, 4706					Neo-Babylonian
P357188	CDLI Literary 000351, ex. 119	Sippar-Yahrurum (mod. Tell Abu Habbah)	BM 054681 + BM 062360 + BM 064255		1882-09-18, 02329 + 1882-09-18, 04231					Old Babylonian
P357205	CDLI Literary 000351, ex. 146	uncertain (mod. uncertain)	BM 121092		1929-10-12, 0088					Old Babylonian
P357206	CDLI Literary 000351, ex. 135	Nineveh (mod. Kuyunjik)	BM 122625 + BM 122651 + BM 123380 		1930-05-08, 0014 +1930-05-08, 0040 + 1932-12-10, 0323					Middle Assyrian
P357207	CDLI Literary 000351, ex. 133	uncertain (mod. uncertain)	BM 123372		1932-12-10, 0315					Old Babylonian
P357208	CDLI Literary 000351, ex. 128	uncertain (mod. uncertain)	BM 123445		1932-12-10, 0388					Old Babylonian
P357319	CDLI Literary 000351, ex. 076	uncertain (mod. uncertain)	YBC 09867							Old Babylonian
P369318	KAR 351	Assur (mod. Qalat Sherqat)	VAT —							Neo-Assyrian
P370905	CDLI Literary 000351, ex. 120	Nineveh (mod. Kuyunjik)	BM —		K 00133					Neo-Assyrian
P373820	CDLI Literary 000351, ex. 022	Nineveh (mod. Kuyunjik)	BM —		K 07604					Neo-Assyrian
P395852	CDLI Literary 000351, ex. 150	Nineveh (mod. Kuyunjik)	BM —		K 05048					Neo-Assyrian
P401981	CDLI Literary 000351, ex. 148	Nineveh (mod. Kuyunjik)	BM —		K 16378 (+) K 20538					Neo-Assyrian
P403233	CDLI Literary 000351, ex. 136	Nineveh (mod. Kuyunjik)	BM —		K 17950					Neo-Assyrian
P404409	CDLI Literary 000351, ex. 143	Nineveh (mod. Kuyunjik)	BM —		K 19608					Neo-Assyrian
P404559	CDLI Literary 000351, ex. 144	Nineveh (mod. Kuyunjik)	BM —		K 19780					Neo-Assyrian
P413913	CDLI Literary 000351, ex. 040	Assur (mod. Qalat Sherqat)	Ist A — ?	13955 gd						Neo-Assyrian
P414088	CDLI Literary 000351, ex. 014	Nineveh (mod. Kuyunjik)	BM —		1880-07-19, 0127					Neo-Assyrian
P414333	CDLI Literary 000351, ex. 002	Bābili (mod. Babylon)	VAT 00172 + VAT 00232 + VAT 00435 + VAT 01747 + VAT 01863							Hellenistic
P422371	CDLI Literary 000351, ex. 170	Nineveh (mod. Kuyunjik)	BM 121117		1929-10-12, 0113					Middle Assyrian
P424848	CDLI Literary 000351, ex. 132	Nineveh (mod. Kuyunjik)	BM —		Rm 0585					Neo-Assyrian
P429734	CDLI Literary 000351, ex. 102	Nippur (mod. Nuffar)	Penn —	3N-T0927,533						Old Babylonian
P429735	CDLI Literary 000351, ex. 097	Nippur (mod. Nuffar)	Penn —	3N-T0927,534						Old Babylonian
P452395	CDLI Literary 000351, ex. 140	Nineveh (mod. Kuyunjik)	BM —		1881-07-27, 0120					Neo-Assyrian
P452719	CDLI Literary 000351, ex. 127	Nineveh (mod. Kuyunjik)	BM —		1883-01-18, 0516					Neo-Assyrian
P453277	CDLI Literary 000351, ex. 156	Assur (mod. Qalat Sherqat)	VAT 10628							Neo-Assyrian
P453278	CDLI Literary 000351, ex. 157	unclear	VAT 010643a-c + VAT 10959							Middle Assyrian
P459571	CDLI Literary 000351, ex. 067	Nippur (mod. Nuffar)	Ist Ni 09640							Old Babylonian
P459572	CDLI Literary 000351, ex. 106	Nippur (mod. Nuffar)	IM 058961	2N-T0415						Old Babylonian
P459573	CDLI Literary 000351, ex. 071	Nippur (mod. Nuffar)	Ist Ni 09689							Old Babylonian
P459575	CDLI Literary 000351, ex. 069	Nippur (mod. Nuffar)	Ist Ni 04517							Old Babylonian
P459576	CDLI Literary 000351, ex. 122	Nippur (mod. Nuffar)	Ist Ni 04478							Old Babylonian
P461208	CDLI Literary 000351, ex. 141	unclear	BM 042271 (+) BM 042489		1881-07-01, 0030 (+) 1881-07-01, 0249					Old Babylonian
P461247	CDLI Literary 000351, ex. 147	unclear	BM 051213 + BM 052279 + BM 053337 + BM 078074		1882-03-23, 2209 + 1882-03-23, 3513 + 1882-03-23, 4372 + 1885-11-27, 0011					Old Babylonian
P461636	CDLI Literary 000351, ex. 149	unclear	BM 048011							
P461682	CDLI Literary 000351, ex. 074	Nineveh (mod. Kuyunjik)	BCM 0280-062							Old Babylonian
P461683	CDLI Literary 000351, ex. 081	unclear	IM 043424							Old Babylonian
P461685	CDLI Literary 000351, ex. 041	Nippur (mod. Nuffar)	ist Ni 04120							Old Babylonian
P461892	CDLI Literary 000351, ex. 019	unclear	AO 04135							Neo-Babylonian
P461893	CDLI Literary 000351, ex. 145	Nippur (mod. Nuffar)	OIM A29946	2N-T0109						Neo-Babylonian
