P343772	CDLI Literary 000351, ex. 072	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 014 S	
P345782	CDLI Literary 000351, ex. 073	Ashmolean Museum, Oxford, UK	Old Babylonian (ca. 1900-1600 BC)	Kish (mod. Tell Uhaimir)	tablet	history	2 (1983) 014 Z	
P461682	CDLI Literary 000351, ex. 074	Birmingham Museums and Art Gallery, Birmingham, UK	Old Babylonian (ca. 1900-1600 BC)	Nineveh (mod. Kuyunjik)	tablet	history	2 (1983) 019 C5	
P357319	CDLI Literary 000351, ex. 076	Yale Babylonian Collection, New Haven, Connecticut, USA	Old Babylonian (ca. 1900-1600 BC)	uncertain (mod. uncertain)	tablet	history	2 (1983) 013 A	
P263109	CDLI Literary 000351, ex. 077	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 013 E	
P256809	CDLI Literary 000351, ex. 078	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 013 G	
P356663	CDLI Literary 000351, ex. 079	National Museum of Iraq, Baghdad, Iraq	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 013 I	
P356987	CDLI Literary 000351, ex. 080	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 013 JISET 3, 082, Ni 09454	
P461683	CDLI Literary 000351, ex. 081	National Museum of Iraq, Baghdad, Iraq	Old Babylonian (ca. 1900-1600 BC)		tablet	history	2 (1983) 014 A1	
P356647	CDLI Literary 000351, ex. 082	National Museum of Iraq, Baghdad, Iraq	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 014 E1	
P256797	CDLI Literary 000351, ex. 083	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 014 L	
P269650	CDLI Literary 000351, ex. 084	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 014 M	
P279008	CDLI Literary 000351, ex. 085	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 014 W+R4	
P278276	CDLI Literary 000351, ex. 086 &amp; 000397, ex. 016	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 014 Y	
P279001	CDLI Literary 000351, ex. 087	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 015 A2 + B2	
P356828	CDLI Literary 000351, ex. 088	National Museum of Iraq, Baghdad, Iraq	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 015 Q1	
P356718	CDLI Literary 000351, ex. 089	National Museum of Iraq, Baghdad, Iraq	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 015 Z1	
P230705	CDLI Literary 000351, ex. 090		Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 016 J2	
P278689	CDLI Literary 000351, ex. 091	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 016 M2 + Q2	
