FSB 20	DME 0682	Ur III	Herkunft unbekannt	-	AUAM 73.1425 Vs. I:7-12	ASJ 2 S.159-160 / ASJ 2 S.161-167.	-	gegen eine Krankheit	Sigrist 1980, 154-155.
FSB 21	TMH 6, 0112	Ur III	Nufar-Nippur	-	HS 1600	TMH 6, 121 / TMH 6, 152; http://www.cdli.ucla.edu/dl/photo/P273902.	6.5x6.5x3.0	gegen eine Krankheit (als Falle vorgestellt)	Van Dijk/Geller 2003, 42-47
FSB 22	DME 0151	FD IIIa	Fāra-Šuruppak	-	VAT 12597 IX 8-XI 9	SF 54 IX 8-XI 9; BFE: 382-383 / http://www.cdli.ucla.edu/dl/photo/P010644	-	Ohrenkrankheit	Krebernik 1984, 54-63.
FSB 23	DME 0152	FD IIIa	Fāra-Šuruppak	-	VAT 12597 Rs. X 7- XI 9	SF 54 IX 8-XI 9; BFE: 382-383 / http://www.cdli.ucla.edu/dl/photo/P010644	-	gegen eine Augenkrankheit	Krebernik 1984:54-63
FSB 24	TMH 6, 005	Ur III	Nufar-Nippur	-	HS 1552	TMH 6, 117; 143 / TMH 6, 149; http://www.cdli.ucla.edu/dl/photo/P273896	4.0x4.0x1.5	gegen eine Augenkrankheit	Van Dijk/Geller 2003, 26
FSB 25	VO X 8	FD IIIb	Tell Mardich — Ebla	TM.75.G 1315 Vs.	INM -	VO X 8 / VO X Taf. I	-	gegen eine Mundkrankheit(?)	Krebernik 1996b, 7-14.
FSB 26	TMH 6, 0111	Ur III	Nufar-Nippur	-	HS 1600	TMH 6, 121 / TMH 6, 152; http://www.cdli.ucla.edu/dl/photo/P273902.	6.5x6.5x3.0	gegen eine Beinkrankheit	Van Dijk/Geller 2003, 42-47
FSB 27A	DME 022A	FD IIIb	Tell Mardich – Ebla	TM.75.G 2459 VI 3-VII 1	INM -	ARET V 19 VI 3-VII 1 / ARET V Taf. LIV-LV 19	13.8x12.8x3.0	gegen böses Schicksal (?)	Krebernik 1984, 126-128
FSB 27B	DME 022B	FD IIIb	Tell Mardich – Ebla	TM.75.G 1816	INM -	ARET V 15 / ARET V Taf. LI 15	-	gegen böses Schicksal (?)	Krebernik 1984, 126-128
FSB 28	TMH 6, 009	Ur III	Nufar-Nippur	-	HS 1588 + 1596	TMH 6, 117 / TMH 6, 149; http://www.cdli.ucla.edu/dl/photo/P145900.	10.5x5.0x2.0	gegen Böse allgemein (?)	Van Dijk/Geller 2003:39-41
FSB 29A	TMH 6, 007A	Ur III	Nufar-Nippur	-	HS 1474 + 1574 + 1500 + 2 fragm.	TMH 6, 117 / TMH 6, 149; http://www.cdli.ucla.edu/dl/photo/P145900.	10.5x6.8x2.5	gegen Böse allgemein oder eine Schlange (?)	Van Dijk/Geller 2003 :31-36
FSB 29B	TMH 6, 0083	Ur III	Nufar-Nippur	-	HS 1573 Rs. 03.10’-04.13’	TMH 6, 119 / TMH 6, 150; http://www.cdli.ucla.edu/dl/photo/P273898.	5.0x5.5x3.0	gegen Böse allgemein oder eine Schlange (?)	Van Dijk/Geller 2003:36-38
FSB 30	TMH 6, 0021	Ur III	Nufar-Nippur	-	HS 1464 Vs. 01.01-02.02	TMH 6, 110 / TMH 6, 147 / http://www.cdli.ucla.edu/dl/photo/P273888	12.0x7.0x2.5	gegen Asag	Van Dijk/Geller 2003, 14-18.
FSB 31	TMH 6, 003	Ur III	Nufar-Nippur	-	HS 1540	TMH 6, 116 / TMH 6, 147 / http://www.cdli.ucla.edu/dl/photo/P273894	6.0x6.5x2.5	gegen Asag	Van Dijk/Geller 2003:19-20.
FSB 32	TMH 6, 015	Ur III	Nufar-Nippur	-	HS 2090	TMH 6, 122 / TMH 6, 154; http://www.cdli.ucla.edu/dl/photo/P273904.	8.5x6.0x2.5	gegen eme-ḫul-ĝál-Dämon	Van Dijk/Geller 2003:54-57
