Q000898				Gudea 020	rim:E3/1.1.7.20	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 122, E3/1.1.7.20		Gudea			active			
Q000899				Gudea 021	rim:E3/1.1.7.21	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 122, E3/1.1.7.21		Gudea			active			
Q000900				Gudea 024	rim:E3/1.1.7.24	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 125, E3/1.1.7.24		Gudea			active			
Q000901				Gudea 025	rim:E3/1.1.7.25	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 125, E3/1.1.7.25		Gudea			active			
Q000902				Gudea 026	rim:E3/1.1.7.26	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 126, E3/1.1.7.26		Gudea			active			
Q000903				Gudea 029	rim:E3/1.1.7.29	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 129, E3/1.1.7.29		Gudea			active			
Q000904				Gudea 031	rim:E3/1.1.7.31	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 130, E3/1.1.7.31		Gudea			active			
Q000905				Gudea 033	rim:E3/1.1.7.33	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 132, E3/1.1.7.33		Gudea			active			
Q000906				Gudea 034	rim:E3/1.1.7.34	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 133, E3/1.1.7.34		Gudea			active			
Q000907				Gudea 035	rim:E3/1.1.7.35	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 133, E3/1.1.7.35		Gudea			active			
Q000908				Gudea 037	rim:E3/1.1.7.37	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 135, E3/1.1.7.37		Gudea			active			
Q000909				Gudea 039	rim:E3/1.1.7.39	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 137, E3/1.1.7.39		Gudea			active			
Q000910				Gudea 040	rim:E3/1.1.7.40	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 137, E3/1.1.7.40		Gudea			active			
Q000911				Gudea 041	rim:E3/1.1.7.41	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 138, E3/1.1.7.41		Gudea			active			
Q000912				Gudea 042	rim:E3/1.1.7.42	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 139, E3/1.1.7.42		Gudea			active			
Q000913				Gudea 043	rim:E3/1.1.7.43	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 140, E3/1.1.7.43		Gudea			active			
Q000914				Gudea 044	rim:E3/1.1.7.44	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 141, E3/1.1.7.44		Gudea			active			
Q000915				Gudea 048	rim:E3/1.1.7.48	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 144, E3/1.1.7.48		Gudea			active			
Q000916				Gudea 049	rim:E3/1.1.7.49	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 145, E3/1.1.7.49		Gudea			active			
Q000917				Gudea 051	rim:E3/1.1.7.51	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 146, E3/1.1.7.51		Gudea			active			
Q000918				Gudea 054	rim:E3/1.1.7.54	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 149, E3/1.1.7.54		Gudea			active			
Q000919				Gudea 062	rim:E3/1.1.7.62	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 154, E3/1.1.7.62		Gudea			active			
Q000920				Gudea 063	rim:E3/1.1.7.63	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 155, E3/1.1.7.63		Gudea			active			
Q000921				Gudea 064	rim:E3/1.1.7.64	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 156, E3/1.1.7.64		Gudea			active			
Q000922				Gudea 066	rim:E3/1.1.7.66	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 157, E3/1.1.7.66		Gudea			active			
Q000923				Gudea 067	rim:E3/1.1.7.67	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 158, E3/1.1.7.67		Gudea			active			
Q000924				Gudea 072	rim:E3/1.1.7.72	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 162, E3/1.1.7.72		Gudea			active			
Q000925				Gudea 073	rim:E3/1.1.7.73	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 162, E3/1.1.7.73		Gudea			active			
Q000926				Gudea 080	rim:E3/1.1.7.80	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 167, E3/1.1.7.80		Gudea			active			
Q000927				Gudea 083	rim:E3/1.1.7.83	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 169, E3/1.1.7.83		Gudea			active			
Q000928				Ur-Ningirsu II 02	rim:E3/1.1.8.2	Royal Inscription		Jamie Novotny	8/31/2019 6:47:25 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 182, E3/1.1.8.2					active			
