designation	id_text	museum_no	Delnero_no	Delnero_subgenre_no	type	deity	Delnero_remarks
FT 2, AO 12999	P315421	AO 12999	2500	Balag Nanna-Suen (285)	Balag	Nanna-Suen	
FT 2, AO 13013	P315432	AO 13013	2510	Balag ID (117)	Balag	Inana-Dumuzi	
H 0002	P355702	IM —	4760	Balag ID (22)	Balag	Inana-Dumuzi	Unpublished, see Volk 1989, 1 n. 11 and Volk 2006, 92 n. 6
Haddad 0152 + 175	P355727	IM —		Ershahunga?	Ershahunga	Personal Deity	
HAV 447, 03	P266078	CBS 10885	2770	Balag ID (91)	Balag	Inana-Dumuzi	
HAV 449, 13	P259294	CBS 02249	2640	Balag NG (172)	Balag	Ninisina-Gula	
HAV 450, 14	P259314	CBS 02281	2650	Balag NG (180)	Balag	Ninisina-Gula	
HAV 450, 15	P266495	CBS 11344	2840	Balag ID (123)	Balag	Nergal	
HS 1429 +	P345619	HS 1429 + N 2854 + N 2861				Inana-Dumuzi	
HS 1457 +	P345726	HS 1457 + HS 2531 + HS 2494c + HS 2553				Inana-Dumuzi	
HS 1486	P345620	HS 1486				Inana-Dumuzi	
HS 2509	X130504	HS 2509	3600	Balag Uncertain Deity (308)	Balag	Uncertain	
HS 2660	X130505	HS 2660	3610	Balag Uncertain Deity (309)	Balag	Uncertain	
HS 2729	X130502	HS 2729	3630	Balag Uncertain Deity (310)	Balag	Uncertain	
HS.2686	X130503	HS 2686	3620	Balag ID (142)	Balag	Inana-Dumuzi	
IB 1684	X907123	IM 121955					
IM 044737	P355666	IM 044737	4740	Balag ID (105)	Balag	Inana-Dumuzi	
Inana I	P283772	BM 085201			Shirnamshub	Inana	
ISET 1 144 (Ni 9976)	P343524	Ni 09976				Dumuzi	
ISET 1 146 (pl.88) 146, Ni 4357	P355667	Ist Ni 04357	3540	Balag Enlil (234)	Balag	Enlil	
ISET 1, 061 (pl. 003), Ni 04121	P343079	Ni 04121					
ISET 1, 127 (pl. 069), Ni 04067	P343164	Ni 04067					
ISET 1, 133 (pl. 075), Ni 04189	P343190	Ist Ni 04189					
ISET 1, 138 (pl. 080), Ni 04214	P343212	Ni 04214					
ISET 1, 140 (pl. 082), Ni 04227	P343230	Ni 04227					
ISET 1, 172 (pl. 114)	X907003	Ni 09553					
ISET 1, 176 (pl. 118)	X907005	Ni 09642					
ISET 1, 179 (pl. 121)	X907006	Ni 09726					
ISET 1, 209 (Pl. 151) Ni 13236	X907114	Ist Ni 13236					
ISET 1, 219 (pl. 161), Ist L 01486	P343579	Ist L 01486	4810	Ershemma Utu (433)	Ershemma	Utu	
ISET 1, 221-222 (pl. 163-164), Ist L 01492	P343583	Ist L 01492	4820	Ershemma ID (331)	Ershemma	Inana-Dumuzi	
ISET 1, 227 (pl. 169), Ist L 01501	P343588	Ist L 01501	4830	Ershemma AD (394)	Ershemma	Aruru-Dingirmah	
Ist L 01494	P343580	Ist L 01494					
Ist L 01495	P343581	Ist L 01495					
Ist L 01497	P343586	Ist L 01497					
Ist L 01500	P343587	Ist L 01500				Ninurta	
Ist Ni 02461	P343111	Ist Ni 02461				Inana	
Ist Ni 02889	P356988	Ist Ni 02889				Ninisina	
Ist Ni 09798	X000108	Ist Ni 09798	3550	Ershemma Enlil (490)	Ershemma	Enlil	
Ist Ni 09992	P356968	Ist Ni 09992					
JCS 08, 082-3	P355642	NMC 10051	4800	Balag Enlil (211)	Balag	Enlil	
JCS 08, 084, CNMA 10050	P355644	NMC 10050	4790	Ershemma ID (383)	Ershemma	Inana-Dumuzi	
JCS 08, 086, CNMA 10099	P355648	NMC 10099			Ershahunga		
JCS 16, 079	P405598	SM 1904.04.021			Shirnamshub	Ninisina	
JCS 34, 69-70	P269087	CBS 14073			Hymn	Ninšubur	
JCS 39, 046	P357172	BM 029632			Ershahunga		
Lipit-Eštar H	P269882	CBS 15358				Inana	
MAH 15995	P423962	MAH 15995	4870	Ershemma ID (358)	Ershemma	Inana-Dumuzi	
MAH 16066	P424008	MAH 16066	4900	Balag Utu (267)	Balag	Utu	
Manchester Memoirs 48 pl.1-7	P355698	MMUM 35516 +	4910	Balag ID (24)	Love song	Inana-Dumuzi	
MBI 05, pl. 12	P267066	CBS 11932	2900	Balag Enlil (256)	Balag	Enlil	
MC 24, 35	X907112	BCM 206'78				Ninisina-Gula	
MC 24, 37	X907113	BCM A.1850-1982					
MS 2289	P251529	MS 2289					
MS 2921	P252007	MS 2921				Inana-Dumuzi	
MS 3071	P252080	MS 3071				Ninisina-Gula	
MS 3314	P252255	MS 3314				Inana-Dumuzi	
MS 3358	P252299	MS 3358				Inana-Dumuzi	
MS 3406	P252347	MS 3406					
N 1053	P276199	N 1053	2970	Balag ID (126)	Balag	Inana-Dumuzi	
N 1296	P276447	N 1296	2980	Balag Enlil (259)	Balag	Enlil	
N 1322 +	P276471	N 1322 + N 1331b + N 1355	2990	Balag Nintu (198)	Balag	Nintu	
N 1365	P276512	N 1365					
N 1372	P276518	N 1372					
N 1373 +	P277466	N 1373 + N 1386 + N 6329 + N 6809 + N 7910 + unnumbered	3000	Balag ID (97)	Balag	Inana-Dumuzi	
N 1411	P276556	N 1411	3010	Uncertain TT Enlil (489)	Uncertain	Enlil	
N 1522	P276657	N 1522	3020	Uncertain TT and D (494)	Uncertain	Uncertain	
N 1542 + N 1577	P276671	N 1542 + N 1577				Suen	
N 1935	P277049	N 1935	3030	Balag ID (127)	Balag	Inana-Dumuzi	
N 2085	P277194	N 2085				Inana	
N 2372 +	X000109	N 2372 + N 3101 + N 4572 + N 6471 + N 7401	3040	Balag ID (98)	Balag	Inana-Dumuzi	
N 2684	P277752	N 2684	3050	Balag ID (45)	Balag	Inana-Dumuzi	
N 2983	P278047	N 2983	3060	Balag Enlil (224)	Balag	Enlil	
N 3043 +	P278106	N 3043 + N 3044	3070	Balag NG (182)	Balag	Ninisina-Gula	
N 3095	P278152	N 3095	3090	Balag ID (46)	Balag	Inana-Dumuzi	
N 3127	P278183	N 3127	3100	Balag ID (128)	Balag	Inana-Dumuzi	
N 3164	P278218	N 3164	3110	Balag ID (99)	Balag	Inana-Dumuzi	
N 3316	P278359	N 3316	3120	Ershemma Enlil (421)	Ershemma	Enlil	
N 3329 + N 7472	P278371	N 3329 + N 7472	3130	Balag ID (129)	Balag	Inana-Dumuzi	
N 3332	P278373	N 3332	3140	Balag ID (130)	Balag	Inana-Dumuzi	
N 3338 + N 3380	P278417	N 3338 + N 3380	3150	Balag ID (131)	Balag	Inana-Dumuzi	
N 3342	P278382	N 3342	3160	Uncertain TT ID (472)	Uncertain	Inana-Dumuzi	
N 3344	P278384	N 3344	3170	Balag ID (132)	Balag	Inana-Dumuzi	
N 3348 + N 3377 + N 3423 + N 4186 + N 4850 + N 7684	P278414	N 3348 + N 3377 + N 3423 + N 4186 + N 4850 + N 7684	3180	Balag ID (133)	Balag	Inana-Dumuzi	
N 3358	P278398	N 3358	3190	Balag ID (134)	Balag	Inana-Dumuzi	
N 3373	P278410	N 3373				Inana-Dumuzi	
N 3383	P278420	N 3383					
N 3388 + N 4228	P278424	N 3388 + N 4228	3200	Balag ID (47)	Balag	Inana-Dumuzi	
N 3396 + N 7777	P278431	N 3396 + N 7777	3220	Balag ID (135)	Balag	Inana-Dumuzi	
N 3512 +	P278541	N 3512 + N 6322				Inana-Dumuzi	
N 3556	P278581	N 3556	3230	Ershemma Enlil (422)	Ershemma	Enlil	
N 3560	P278585	N 3560				Inana-Dumuzi	
N 3577	P278602	N 3577				Inana-Dumuzi	
N 3605	P278623	N 3605	3240	Balag ID (136)	Balag	Inana-Dumuzi	
N 3616	P278634	N 3616	3250	Uncertain TT ID (473)	Uncertain	Inana-Dumuzi	
N 3655	P275008	N 3655	3260	Balag ID (137)	Balag	Inana-Dumuzi	
N 3683	P278698	N 3683	3270	Balag ID (138)	Balag	Inana-Dumuzi	
N 4100	P275010	N 4100	3280	Balag ID (139)	Balag	Inana-Dumuzi	
N 4124	P278999	N 4124	3290	Ershemma Enlil (423)	Ershemma	Enlil	
N 4163	P279029	N 4163	3300	Balag Martu (273)	Balag	Martu	
N 4190	P279055	N 4190	3310	Balag ID (100)	Balag	Inana-Dumuzi	
N 4204	P275011	N 4204	3320	Balag ID (140)	Balag	Inana-Dumuzi	
N 4210 +	P279073	N 4210 + unnumbered	3330	Balag Enlil (225)	Balag	Enlil	
N 4216	P279079	N 4216	3340	Balag NG (183)	Balag	Ninisina-Gula	
N 4305	P275012	N 4305				Inana-Dumuzi	
N 5450	P228467	N 5450	3350	Uncertain TT and D (495)	Uncertain	Uncertain	
N 5662	P279766	N 5662	3360	Balag NG (184)	Balag	Ninisina-Gula	
N 7276	P281009	N 7276	3370	Uncertain TT ID (474)	Uncertain	Inana-Dumuzi	
N 7458	P281187	N 7458	3380	Uncertain TT ID (475)	Uncertain	Inana-Dumuzi	
N 7816	P281540	N 7816	3390	Balag ID (141)	Balag	Inana-Dumuzi	
N 7854	P281578	N 7854	3400	Balag Enlil (260)	Balag	Enlil	
NABU 2012/008	P255232	N 6399 + UM 29-13-246	3410	Balag Enlil (233)	Balag	Enlil	
NABU 2012/044	P278132	N 3073 + N 3312	3080	Ershemma ID (353)	Ershemma	Inana-Dumuzi	
Nanna O	P256324	UM 29-15-570				Nanna	
NBC 10923	P286260	NBC 10923				Inana-Dumuzi	
NCBT 00688	P302741	NCBT 00688	100	Balag ID (6)	Balag	Inana-Dumuzi	
NFT p. 202, AO 4327	P315471	AO 04327	2380	Balag ID (115)	Balag	Bau	
NFT p. 204-206, AO 4328 (+) AO 4330	P315472	AO 04328 (+) 04330	2410	Balag Bau (201)	Balag	Bau	
NFT p. 205, AO 4336+	P315473	AO 04336 + AO 04337	2450	Balag ID (88)	Balag	Inana-Dumuzi	
NFT p. 206	P355650	AO 04338	2460	Balag Uncertain Deity (303)	Balag	Uncertain	
NFT p. 207	P355651	AO 04331 + AO 04335	2420	Ershemma ID (329)	Ershemma	Inana-Dumuzi	
NFT p. 208	P355652	AO 04329	2400	Balag ID (85)	Balag	Inana-Dumuzi	
NFT p. 209	P355653	AO 04334 + AO 04339 + AO 04340 + AO 04341	2440	Balag ID (87)	Balag	Inana-Dumuzi	
NFT p. 210, AO 4333	P355655	AO 04333	2430	Balag ID (86)	Balag	Inana-Dumuzi	
NFT p. 210, AO 4342	P355654	AO 04342	2470	Balag ID (116)	Balag	Inana-Dumuzi	
NFT p. 211, AO 4316	P355659	AO 04316	2370	Ershemma Bau (403)	Ershemma	Bau	
NFT p. 211, AO 4345	P355656	AO 04345	2480	Balag Uncertain Deity (304)	Balag	Uncertain	
NFT p. 211, AO 4346	P355660	AO 04346	2490	Uncertain TT ID (471)	Uncertain	Inana-Dumuzi	
