id_text	OB Liturgy	type	deity	designation
P276657	OB Liturgy	Uncertain	Uncertain	N 1522
P276671	OB Liturgy		Suen	N 1542 + N 1577
P277049	OB Liturgy	Balag	Inana-Dumuzi	N 1935
P277194	OB Liturgy		Inana	N 2085
X000109	OB Liturgy	Balag	Inana-Dumuzi	N 2372 +
P277752	OB Liturgy	Balag	Inana-Dumuzi	N 2684
P278047	OB Liturgy	Balag	Enlil	N 2983
P278106	OB Liturgy	Balag	Ninisina-Gula	N 3043 +
P278152	OB Liturgy	Balag	Inana-Dumuzi	N 3095
P278183	OB Liturgy	Balag	Inana-Dumuzi	N 3127
P278218	OB Liturgy	Balag	Inana-Dumuzi	N 3164
P278359	OB Liturgy	Ershemma	Enlil	N 3316
P278371	OB Liturgy	Balag	Inana-Dumuzi	N 3329 + N 7472
P278373	OB Liturgy	Balag	Inana-Dumuzi	N 3332
P278417	OB Liturgy	Balag	Inana-Dumuzi	N 3338 + N 3380
P278382	OB Liturgy	Uncertain	Inana-Dumuzi	N 3342
P278384	OB Liturgy	Balag	Inana-Dumuzi	N 3344
P278414	OB Liturgy	Balag	Inana-Dumuzi	N 3348 + N 3377 + N 3423 + N 4186 + N 4850 + N 7684
P278398	OB Liturgy	Balag	Inana-Dumuzi	N 3358
P278410	OB Liturgy		Inana-Dumuzi	N 3373
P278420	OB Liturgy			N 3383
P278424	OB Liturgy	Balag	Inana-Dumuzi	N 3388 + N 4228
P278431	OB Liturgy	Balag	Inana-Dumuzi	N 3396 + N 7777
P278541	OB Liturgy		Inana-Dumuzi	N 3512 +
P278581	OB Liturgy	Ershemma	Enlil	N 3556
P278585	OB Liturgy		Inana-Dumuzi	N 3560
P278602	OB Liturgy		Inana-Dumuzi	N 3577
P278623	OB Liturgy	Balag	Inana-Dumuzi	N 3605
P278634	OB Liturgy	Uncertain	Inana-Dumuzi	N 3616
P275008	OB Liturgy	Balag	Inana-Dumuzi	N 3655
P278698	OB Liturgy	Balag	Inana-Dumuzi	N 3683
P275010	OB Liturgy	Balag	Inana-Dumuzi	N 4100
P278999	OB Liturgy	Ershemma	Enlil	N 4124
P279029	OB Liturgy	Balag	Martu	N 4163
P279055	OB Liturgy	Balag	Inana-Dumuzi	N 4190
P275011	OB Liturgy	Balag	Inana-Dumuzi	N 4204
P279073	OB Liturgy	Balag	Enlil	N 4210 +
P279079	OB Liturgy	Balag	Ninisina-Gula	N 4216
P275012	OB Liturgy		Inana-Dumuzi	N 4305
P228467	OB Liturgy	Uncertain	Uncertain	N 5450
P279766	OB Liturgy	Balag	Ninisina-Gula	N 5662
P281009	OB Liturgy	Uncertain	Inana-Dumuzi	N 7276
P281187	OB Liturgy	Uncertain	Inana-Dumuzi	N 7458
P281540	OB Liturgy	Balag	Inana-Dumuzi	N 7816
P281578	OB Liturgy	Balag	Enlil	N 7854
P255232	OB Liturgy	Balag	Enlil	NABU 2012/008
P278132	OB Liturgy	Ershemma	Inana-Dumuzi	NABU 2012/044
P256324	OB Liturgy		Nanna	Nanna O
P286260	OB Liturgy		Inana-Dumuzi	NBC 10923
P302741	OB Liturgy	Balag	Inana-Dumuzi	NCBT 00688
P315471	OB Liturgy	Balag	Bau	NFT p. 202, AO 4327
P315472	OB Liturgy	Balag	Bau	NFT p. 204-206, AO 4328 (+) AO 4330
P315473	OB Liturgy	Balag	Inana-Dumuzi	NFT p. 205, AO 4336+
P355650	OB Liturgy	Balag	Uncertain	NFT p. 206
P355651	OB Liturgy	Ershemma	Inana-Dumuzi	NFT p. 207
P355652	OB Liturgy	Balag	Inana-Dumuzi	NFT p. 208
P355653	OB Liturgy	Balag	Inana-Dumuzi	NFT p. 209
P355655	OB Liturgy	Balag	Inana-Dumuzi	NFT p. 210, AO 4333
P355654	OB Liturgy	Balag	Inana-Dumuzi	NFT p. 210, AO 4342
P355659	OB Liturgy	Ershemma	Bau	NFT p. 211, AO 4316
P355656	OB Liturgy	Balag	Uncertain	NFT p. 211, AO 4345
